line_id	trigger_key	rarity	chat_text	sound_event_id	source_ogg_01	source_ogg_02	source_ogg_03	target_ogg_01	target_ogg_02	target_ogg_03
boat_good_fishing	in_boat_not_combat	COMMON	Probably some good fishing in these parts.	bot.line.boat_good_fishing	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_good_fishing__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_good_fishing__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_good_fishing__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_good_fishing__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_good_fishing__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_good_fishing__03.ogg
boat_know_swim	in_boat_not_combat	COMMON	I hope you know how to swim.	bot.line.boat_know_swim	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_know_swim__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_know_swim__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_know_swim__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_know_swim__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_know_swim__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_know_swim__03.ogg
boat_kraken	in_boat_not_combat	COMMON	Look out, kraken! Just kidding.	bot.line.boat_kraken	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_kraken__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_kraken__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_kraken__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_kraken__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_kraken__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_kraken__03.ogg
boat_shipwreck_speedrun	boat_breaks	RARE	Shipwreck speedrun.	bot.line.boat_shipwreck_speedrun	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_shipwreck_speedrun__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_shipwreck_speedrun__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/boat_shipwreck_speedrun__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_shipwreck_speedrun__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_shipwreck_speedrun__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/boat_shipwreck_speedrun__03.ogg
combat_multi_excessive	fighting_multiple_dangerous	UNCOMMON	This is excessive.	bot.line.combat_multi_excessive	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_excessive__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_excessive__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_excessive__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_excessive__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_excessive__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_excessive__03.ogg
combat_multi_not_fair	fighting_multiple_dangerous	COMMON	Not a fair fight.	bot.line.combat_multi_not_fair	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_not_fair__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_not_fair__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_not_fair__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_not_fair__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_not_fair__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_not_fair__03.ogg
combat_multi_relax	fighting_multiple_dangerous	UNCOMMON	Alright, everybody relax.	bot.line.combat_multi_relax	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_relax__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_relax__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/combat_multi_relax__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_relax__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_relax__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/combat_multi_relax__03.ogg
creepy_bad_ideas_mature	in_high_threat_location	UNCOMMON	This is where bad ideas go to mature.	bot.line.creepy_bad_ideas_mature	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_bad_ideas_mature__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_bad_ideas_mature__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_bad_ideas_mature__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_bad_ideas_mature__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_bad_ideas_mature__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_bad_ideas_mature__03.ogg
creepy_complaint_reality	in_high_threat_location	RARE	I'd like to file a complaint with reality.	bot.line.creepy_complaint_reality	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_complaint_reality__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_complaint_reality__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_complaint_reality__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_complaint_reality__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_complaint_reality__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_complaint_reality__03.ogg
creepy_head_swivel	in_high_threat_location	UNCOMMON	Keep your head on a swivel.	bot.line.creepy_head_swivel	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_head_swivel__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_head_swivel__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/creepy_head_swivel__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_head_swivel__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_head_swivel__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/creepy_head_swivel__03.ogg
ff_dealt_didnt_mean	bot_hit_player	UNCOMMON	I didn't mean to do that!	bot.line.ff_dealt_didnt_mean	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_didnt_mean__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_didnt_mean__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_didnt_mean__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_didnt_mean__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_didnt_mean__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_didnt_mean__03.ogg
ff_dealt_panicked	bot_hit_player	UNCOMMON	I panicked!	bot.line.ff_dealt_panicked	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_panicked__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_panicked__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_dealt_panicked__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_panicked__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_panicked__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_dealt_panicked__03.ogg
ff_received_on_your_team	player_hit_bot	UNCOMMON	I'm on your team!	bot.line.ff_received_on_your_team	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_on_your_team__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_on_your_team__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_on_your_team__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_on_your_team__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_on_your_team__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_on_your_team__03.ogg
ff_received_ow_that_was_you	player_hit_bot	UNCOMMON	Ow. That was you.	bot.line.ff_received_ow_that_was_you	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_ow_that_was_you__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_ow_that_was_you__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/ff_received_ow_that_was_you__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_ow_that_was_you__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_ow_that_was_you__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/ff_received_ow_that_was_you__03.ogg
freefall_aaahaha	falling_or_elytra	COMMON	Aaahaha!	bot.line.freefall_aaahaha	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_aaahaha__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_aaahaha__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_aaahaha__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_aaahaha__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_aaahaha__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_aaahaha__03.ogg
freefall_exhilarating	falling_or_elytra	COMMON	Exhilarating!!!	bot.line.freefall_exhilarating	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_exhilarating__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_exhilarating__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_exhilarating__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_exhilarating__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_exhilarating__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_exhilarating__03.ogg
freefall_falling_style	falling_or_elytra	COMMON	Falling with style!	bot.line.freefall_falling_style	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_falling_style__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_falling_style__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_falling_style__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_falling_style__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_falling_style__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_falling_style__03.ogg
freefall_im_a_bird	falling_or_elytra	COMMON	I'm a bird!	bot.line.freefall_im_a_bird	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_im_a_bird__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_im_a_bird__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_im_a_bird__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_im_a_bird__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_im_a_bird__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_im_a_bird__03.ogg
freefall_inventory	falling_or_elytra	RARE	Someone tell my inventory I loved it.	bot.line.freefall_inventory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_inventory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_inventory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_inventory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_inventory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_inventory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_inventory__03.ogg
freefall_regret	falling_or_elytra	UNCOMMON	I immediately regret this!	bot.line.freefall_regret	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_regret__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_regret__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_regret__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_regret__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_regret__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_regret__03.ogg
freefall_woohoo	falling_or_elytra	COMMON	WOOOOOHOOOOO!!!	bot.line.freefall_woohoo	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_woohoo__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_woohoo__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_woohoo__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_woohoo__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_woohoo__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_woohoo__03.ogg
freefall_yolo	falling_or_elytra	COMMON	Yolo!	bot.line.freefall_yolo	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_yolo__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_yolo__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/freefall_yolo__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_yolo__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_yolo__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/freefall_yolo__03.ogg
meme_chicken_illegal	baby_zombie_on_chicken	VERY_RARE	That's illegal. That's against nature.	bot.line.meme_chicken_illegal	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_illegal__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_illegal__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_illegal__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_illegal__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_illegal__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_illegal__03.ogg
meme_chicken_jockey	baby_zombie_on_chicken	VERY_RARE	Chicken jockey!	bot.line.meme_chicken_jockey	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_jockey__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_jockey__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_jockey__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_jockey__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_jockey__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_jockey__03.ogg
meme_chicken_nope	baby_zombie_on_chicken	VERY_RARE	Nope. Absolutely not.	bot.line.meme_chicken_nope	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_nope__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_nope__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_chicken_nope__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_nope__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_nope__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_chicken_nope__03.ogg
meme_creeper_aw_man	creeper_hiss	VERY_RARE	Creeper... aw man.	bot.line.meme_creeper_aw_man	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_aw_man__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_aw_man__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_aw_man__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_aw_man__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_aw_man__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_aw_man__03.ogg
meme_creeper_back_up	creeper_hiss	COMMON	Back up. Back up. Back up.	bot.line.meme_creeper_back_up	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_back_up__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_back_up__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_back_up__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_back_up__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_back_up__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_back_up__03.ogg
meme_creeper_hate_sound	creeper_hiss	COMMON	I hate that sound.	bot.line.meme_creeper_hate_sound	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_hate_sound__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_hate_sound__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_creeper_hate_sound__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_hate_sound__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_hate_sound__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_creeper_hate_sound__03.ogg
meme_herobrine_leaving	lightning_at_night	VERY_RARE	If you say 'Herobrine,' I'm leaving.	bot.line.meme_herobrine_leaving	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_leaving__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_leaving__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_leaving__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_leaving__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_leaving__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_leaving__03.ogg
meme_herobrine_saw_nothing	lightning_at_night	VERY_RARE	I saw nothing. And I'm keeping it that way.	bot.line.meme_herobrine_saw_nothing	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_saw_nothing__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_saw_nothing__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/meme_herobrine_saw_nothing__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_saw_nothing__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_saw_nothing__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/meme_herobrine_saw_nothing__03.ogg
