line_id	trigger_key	rarity	chat_text	sound_event_id	source_ogg_01	source_ogg_02	source_ogg_03	target_ogg_01	target_ogg_02	target_ogg_03
topic_jungle_ask_1	ask_about	COMMON	This is where you get lost three blocks from safety.	bot.line.topic_jungle_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_1__03.ogg
topic_jungle_ask_2	ask_about	COMMON	If you see vines, assume there's a trap attached.	bot.line.topic_jungle_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_ask_2__03.ogg
topic_jungle_memory	memory_callback	RARE	Jungle navigation is just arguing with leaves.	bot.line.topic_jungle_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_jungle_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_jungle_memory__03.ogg
topic_desert_first	first_unlocked	COMMON	So much sand. So little patience.	bot.line.topic_desert_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_first__03.ogg
topic_desert_ask_1	ask_about	COMMON	Desert looks empty until it isn't.	bot.line.topic_desert_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_1__03.ogg
topic_desert_ask_2	ask_about	COMMON	We're one hole away from a bad day.	bot.line.topic_desert_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_ask_2__03.ogg
topic_desert_memory	memory_callback	RARE	We crossed that desert like it owed us money.	bot.line.topic_desert_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_desert_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_desert_memory__03.ogg
topic_snow_first	first_unlocked	COMMON	Air's thin. Mistakes get expensive.	bot.line.topic_snow_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_first__03.ogg
topic_snow_ask_1	ask_about	COMMON	Good view. Bad fall.	bot.line.topic_snow_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_1__03.ogg
topic_snow_ask_2	ask_about	COMMON	If we slip, we're bouncing the whole way down.	bot.line.topic_snow_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_ask_2__03.ogg
topic_snow_memory	memory_callback	RARE	Mountains taught us humility.	bot.line.topic_snow_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_snow_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_snow_memory__03.ogg
topic_village_first	first_unlocked	COMMON	Civilization. And a suspicious amount of staring.	bot.line.topic_village_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_first__03.ogg
topic_village_ask_1	ask_about	COMMON	Villagers don't talk, but they communicate disappointment.	bot.line.topic_village_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_1__03.ogg
topic_village_ask_2	ask_about	COMMON	We should leave them better off than we found them. Ideally.	bot.line.topic_village_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_ask_2__03.ogg
topic_village_memory	memory_callback	RARE	That last village felt like returning to the world.	bot.line.topic_village_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_village_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_village_memory__03.ogg
topic_library_first	first_unlocked	COMMON	This is the most words I've seen all week.	bot.line.topic_library_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_first__03.ogg
topic_library_ask_1	ask_about	COMMON	Books make me feel... upgraded.	bot.line.topic_library_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_1__03.ogg
topic_library_ask_2	ask_about	COMMON	If we're learning, we should do it before the next disaster.	bot.line.topic_library_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_2__03.ogg
topic_library_ask_3	ask_about	COMMON	I like quiet places. Don't tell anyone.	bot.line.topic_library_ask_3	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_3__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_3__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_ask_3__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_3__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_3__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_ask_3__03.ogg
topic_library_memory	memory_callback	RARE	I'd like to spend more time among those bookshelves.	bot.line.topic_library_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_library_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_library_memory__03.ogg
topic_enchanting_first	first_unlocked	COMMON	Time for magic gambling.	bot.line.topic_enchanting_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_first__03.ogg
topic_enchanting_ask_1	ask_about	COMMON	I love enchantments. I usually hate enchantment outcomes.	bot.line.topic_enchanting_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_1__03.ogg
topic_enchanting_ask_2	ask_about	COMMON	Pray for a good enchantment.	bot.line.topic_enchanting_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_2__03.ogg
topic_enchanting_ask_3	ask_about	COMMON	If it comes out cursed-looking, we pretend it's fine.	bot.line.topic_enchanting_ask_3	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_3__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_3__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_ask_3__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_3__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_3__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_ask_3__03.ogg
topic_enchanting_memory	memory_callback	RARE	Remember when we enchanted something and instantly got arrogant?	bot.line.topic_enchanting_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_enchanting_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_enchanting_memory__03.ogg
topic_ruined_portal_first	first_unlocked	COMMON	Someone tried to leave. It didn't go great.	bot.line.topic_ruined_portal_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_first__03.ogg
topic_ruined_portal_ask_1	ask_about	COMMON	Ruins always feel fresh. Like the world remembers.	bot.line.topic_ruined_portal_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_1__03.ogg
topic_ruined_portal_ask_2	ask_about	COMMON	We should take what we can and not ask questions.	bot.line.topic_ruined_portal_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_ask_2__03.ogg
topic_ruined_portal_memory	memory_callback	RARE	That portal was a warning sign dressed as loot.	bot.line.topic_ruined_portal_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ruined_portal_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ruined_portal_memory__03.ogg
topic_nether_fortress_first	first_unlocked	COMMON	Fortress found. This is where things get serious.	bot.line.topic_nether_fortress_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_first__03.ogg
